EmployeeID,Age,Gender,Department,JobRole,MaritalStatus,YearsAtCompany,Attrition,YearsSinceLastPromotion,JobSatisfaction,JobInvolvement,YearsWithCurrManager,PerformanceRating,MonthlyIncome
86,46,Male,HR,Sales Executive,Single,25,No,4,3,2,5,4,17466
87,37,Male,Finance,Research Scientist,Single,11,No,4,2,2,13,1,19357
88,33,Female,Marketing,HR Specialist,Married,1,No,10,3,2,6,2,9539
89,24,Male,Finance,Manager,Married,17,No,12,4,3,7,3,2862
90,53,Male,Sales,Manager,Married,18,No,5,3,1,12,3,9872
91,51,Male,HR,Data Analyst,Single,1,No,10,4,2,8,2,19869
92,59,Female,R&D,Marketing Coordinator,Single,4,No,4,1,3,3,2,17718
93,39,Female,HR,Manager,Single,5,Yes,3,2,4,0,4,13985
94,20,Female,IT,Financial Advisor,Divorced,20,No,1,2,4,2,4,11564
95,56,Female,Sales,Research Scientist,Divorced,11,No,9,2,4,1,1,15549
96,41,Male,R&D,Sales Executive,Married,5,No,1,3,1,13,1,16727
97,45,Female,R&D,Research Scientist,Divorced,15,No,3,1,1,2,1,15853
98,56,Female,Marketing,Research Scientist,Married,16,No,9,2,4,4,4,14670
99,37,Male,R&D,HR Specialist,Married,8,Yes,0,2,1,8,1,13975
100,50,Male,Finance,Software Engineer,Single,20,No,11,4,4,5,4,10507
101,43,Male,Sales,Financial Advisor,Divorced,23,No,12,4,3,7,2,3931
102,21,Male,IT,Manager,Single,10,No,1,1,1,13,2,4688
103,48,Male,Finance,Research Scientist,Single,22,No,6,1,1,12,3,10891
104,55,Female,HR,Research Scientist,Single,18,No,8,4,4,13,4,4418
105,39,Male,HR,Research Scientist,Married,2,No,13,1,1,2,1,13973
106,31,Female,R&D,Research Scientist,Single,25,No,11,2,4,13,4,2221
107,58,Female,IT,Software Engineer,Divorced,17,No,7,2,4,6,1,13642
108,48,Female,R&D,Research Scientist,Divorced,26,No,8,4,2,10,3,4384
109,52,Male,Marketing,Sales Executive,Single,9,Yes,2,4,2,8,1,6293
110,43,Male,R&D,Sales Executive,Divorced,22,No,7,4,2,4,2,16862
111,47,Female,Marketing,HR Specialist,Married,6,No,4,4,1,10,4,9196
112,56,Female,Sales,Data Analyst,Married,20,No,2,2,1,14,4,5165
113,42,Female,Sales,Marketing Coordinator,Single,29,No,7,3,3,1,1,5559
114,29,Male,R&D,HR Specialist,Single,29,No,7,3,2,10,2,11701
115,38,Female,Finance,Research Scientist,Single,5,No,7,4,1,14,4,15244
116,44,Male,Sales,Financial Advisor,Divorced,12,No,4,4,2,0,4,12323
117,33,Male,Marketing,Marketing Coordinator,Single,25,No,1,4,2,12,4,9910
118,48,Female,Finance,Research Scientist,Divorced,23,No,4,1,4,11,2,12277
119,59,Male,Finance,HR Specialist,Single,10,No,12,4,2,9,3,4503
120,55,Male,Finance,Financial Advisor,Single,22,Yes,5,3,2,0,1,8219
121,20,Male,HR,Software Engineer,Married,28,Yes,7,4,1,7,3,8308
122,56,Female,Finance,Sales Executive,Married,27,No,7,3,4,12,1,11569
123,58,Female,R&D,Software Engineer,Divorced,16,No,10,1,1,13,1,17679
124,56,Male,Sales,Marketing Coordinator,Single,26,No,3,1,3,7,2,2480
125,28,Female,R&D,Financial Advisor,Single,28,No,0,4,1,9,1,18342
126,50,Female,IT,Data Analyst,Single,5,No,13,2,2,10,2,6128
127,41,Female,Marketing,Marketing Coordinator,Single,12,No,6,3,1,14,3,4982
128,52,Female,Sales,Data Analyst,Divorced,16,No,9,3,2,7,3,4982
129,43,Male,Finance,Research Scientist,Married,27,No,7,2,2,13,2,14154
130,45,Female,HR,Software Engineer,Married,5,No,7,2,1,13,3,14229
131,35,Female,R&D,Manager,Divorced,12,Yes,5,4,4,3,3,18937
132,45,Male,R&D,Financial Advisor,Divorced,26,Yes,12,3,2,4,1,11172
133,48,Female,Sales,Data Analyst,Married,23,No,3,1,4,8,3,6447
134,51,Female,R&D,Manager,Married,3,No,7,3,2,12,3,4135
135,50,Male,HR,Financial Advisor,Single,11,No,9,3,2,10,2,13516
136,20,Female,HR,Data Analyst,Single,15,No,10,3,3,13,1,8505
137,38,Male,Finance,Sales Executive,Single,9,No,14,1,4,13,3,17053
138,30,Female,Finance,Data Analyst,Divorced,26,No,3,1,1,12,2,6181
139,20,Male,Sales,Data Analyst,Divorced,25,No,3,4,4,2,4,18470
140,35,Female,Sales,Financial Advisor,Married,11,Yes,13,4,1,0,2,16979
141,34,Male,R&D,Marketing Coordinator,Married,25,Yes,12,3,2,4,4,11455
142,31,Female,Finance,Manager,Single,11,Yes,8,1,4,10,3,12973
143,24,Female,Marketing,Sales Executive,Married,1,No,0,3,1,14,4,13928
144,30,Female,Finance,Marketing Coordinator,Married,3,No,11,3,3,6,4,13150
145,44,Male,Finance,Financial Advisor,Married,7,No,10,1,2,4,1,14626
146,46,Female,IT,HR Specialist,Married,21,Yes,1,4,4,6,1,8207
147,42,Male,Finance,Financial Advisor,Divorced,23,Yes,0,1,3,9,4,15563
148,25,Female,R&D,HR Specialist,Married,27,Yes,3,4,4,1,2,7894
149,47,Female,HR,Manager,Divorced,7,Yes,1,2,2,1,4,6239
150,36,Male,IT,Software Engineer,Single,19,No,9,3,4,13,4,7306
151,58,Female,Marketing,Manager,Married,13,No,1,3,1,14,4,17436
152,38,Female,Sales,Research Scientist,Divorced,19,No,1,3,3,10,1,4893
153,40,Female,HR,Financial Advisor,Single,27,No,4,4,1,8,4,16990
154,49,Female,Finance,Manager,Married,6,No,12,2,3,7,4,18983
155,39,Female,R&D,HR Specialist,Single,6,No,6,2,3,6,2,13683
156,42,Female,Sales,Data Analyst,Single,28,No,9,3,3,4,3,9180
157,57,Female,Marketing,HR Specialist,Divorced,18,No,1,4,3,6,2,18617
158,28,Male,Sales,Financial Advisor,Married,11,No,14,3,4,5,2,10918
159,45,Female,HR,Marketing Coordinator,Divorced,24,Yes,1,1,1,7,1,14247
160,23,Male,HR,HR Specialist,Single,28,No,8,4,2,0,1,9613
161,55,Male,Finance,Software Engineer,Married,22,No,0,4,4,2,4,4597
162,24,Female,IT,Marketing Coordinator,Single,8,Yes,8,3,1,8,4,17377
163,36,Male,R&D,Data Analyst,Single,28,No,6,1,4,11,1,10844
164,21,Female,Finance,Sales Executive,Single,5,No,11,1,4,10,3,5891
165,38,Female,Marketing,Sales Executive,Single,24,No,7,1,3,4,3,10491
166,32,Female,Marketing,HR Specialist,Single,25,Yes,14,3,4,13,1,15847
167,57,Male,Finance,Data Analyst,Married,10,No,4,2,1,1,3,10351
168,44,Female,HR,HR Specialist,Married,4,No,5,4,4,0,4,7292
169,47,Female,IT,Financial Advisor,Married,18,No,4,3,3,7,1,11487
170,35,Male,Sales,Financial Advisor,Single,28,No,14,4,2,2,2,11215
171,21,Male,HR,HR Specialist,Married,15,No,6,1,3,12,2,2131
172,55,Female,HR,Software Engineer,Divorced,23,No,13,2,3,11,4,12574
173,42,Male,Marketing,Data Analyst,Divorced,17,No,7,2,2,8,1,2479
174,27,Female,R&D,Data Analyst,Divorced,26,No,11,3,1,5,4,19918
175,32,Male,HR,HR Specialist,Divorced,12,No,4,3,1,2,2,12165
176,48,Female,IT,HR Specialist,Single,13,Yes,4,2,1,10,1,18213
177,46,Male,Finance,Sales Executive,Married,15,No,13,4,3,0,2,2593
178,47,Female,IT,Data Analyst,Married,1,No,10,1,3,10,2,5025
179,39,Female,Marketing,Marketing Coordinator,Single,12,Yes,5,2,2,12,2,11648
180,39,Female,IT,Financial Advisor,Married,9,No,2,2,3,6,3,7519
181,34,Male,Sales,Research Scientist,Married,4,No,0,3,1,1,3,15558
182,55,Female,R&D,Sales Executive,Divorced,29,Yes,9,4,2,9,1,15680
183,42,Female,IT,Marketing Coordinator,Single,11,No,9,4,2,13,1,11611
184,46,Female,IT,Data Analyst,Divorced,17,No,0,2,4,2,4,15852
185,24,Male,Sales,Financial Advisor,Married,29,No,0,2,2,13,4,18295
186,49,Female,IT,HR Specialist,Single,22,No,6,1,1,8,3,11625
187,47,Female,IT,Sales Executive,Married,8,No,12,3,3,12,4,4382
188,59,Female,Finance,HR Specialist,Single,5,No,7,1,3,7,4,19621
189,39,Female,HR,Manager,Married,17,No,7,3,2,13,1,10174
190,22,Female,Sales,Research Scientist,Single,29,No,9,4,2,11,2,3296
191,43,Female,IT,Manager,Divorced,18,Yes,2,2,4,6,4,18207
192,20,Female,Finance,Manager,Divorced,23,No,11,3,3,0,3,17231
193,27,Female,Sales,Manager,Divorced,18,No,14,3,1,11,3,11401
194,34,Male,Marketing,Financial Advisor,Married,13,No,2,2,1,4,3,2238
195,28,Female,Finance,Data Analyst,Single,2,No,12,3,1,5,1,3248
196,37,Female,R&D,Software Engineer,Divorced,19,No,9,1,4,10,3,19496
197,30,Male,Marketing,Manager,Single,13,No,14,2,2,2,2,3149
198,35,Female,HR,HR Specialist,Married,13,No,6,2,2,10,4,12520
199,41,Male,HR,Financial Advisor,Divorced,8,No,10,3,1,12,4,5942
200,53,Male,Marketing,Software Engineer,Single,27,Yes,2,3,2,14,3,19215
201,55,Male,Sales,Data Analyst,Married,6,No,6,1,3,12,1,3124
202,43,Female,Finance,HR Specialist,Single,28,No,3,4,1,14,4,3515
203,45,Female,HR,Data Analyst,Married,23,No,6,2,4,11,2,14871
204,22,Female,Finance,Research Scientist,Single,4,No,7,3,3,13,2,3311
205,56,Male,IT,Software Engineer,Married,22,No,10,1,3,10,3,18085
206,51,Female,Sales,HR Specialist,Divorced,27,Yes,9,4,4,7,4,6949
207,39,Female,R&D,HR Specialist,Married,3,No,4,1,2,3,2,19748
208,42,Female,Finance,Software Engineer,Single,9,No,5,4,3,8,1,3059
209,39,Female,Finance,Marketing Coordinator,Married,3,No,10,3,4,5,2,3462
210,46,Female,Marketing,Data Analyst,Divorced,2,No,8,2,2,14,4,7225
211,38,Male,Marketing,HR Specialist,Single,15,No,2,4,3,5,1,12191
212,58,Female,Finance,Manager,Divorced,14,No,6,4,4,4,3,2028
213,46,Female,HR,HR Specialist,Divorced,0,No,8,3,3,3,2,2615
214,48,Male,Finance,Sales Executive,Divorced,18,No,11,2,4,13,1,6575
215,21,Female,Finance,Manager,Divorced,19,Yes,7,2,2,2,4,19428
216,46,Female,Finance,HR Specialist,Single,14,No,2,1,1,11,4,12478
217,32,Male,Finance,HR Specialist,Divorced,6,No,11,3,4,11,2,9387
218,38,Female,Finance,Software Engineer,Married,13,No,5,3,1,8,3,13252
219,53,Female,Finance,HR Specialist,Divorced,7,No,12,3,3,2,3,4232
220,45,Female,IT,Software Engineer,Married,11,No,1,3,4,9,4,3840
221,52,Female,R&D,Data Analyst,Single,21,No,2,2,1,12,2,19433
222,46,Female,Sales,Manager,Divorced,7,Yes,8,1,4,0,1,2895
223,25,Female,HR,Data Analyst,Divorced,19,No,6,2,1,2,1,9884
224,25,Female,R&D,Data Analyst,Divorced,17,Yes,12,4,3,11,1,12506
225,57,Male,HR,Manager,Single,22,No,0,3,3,5,4,9000
226,30,Male,HR,Software Engineer,Single,8,No,2,1,2,8,1,19219
227,53,Female,Sales,Manager,Single,29,No,7,2,4,3,1,5610
228,30,Male,R&D,Manager,Divorced,25,No,0,3,4,13,4,17533
229,32,Male,IT,Sales Executive,Single,1,Yes,1,3,2,1,1,9598
230,39,Female,Marketing,Research Scientist,Single,5,No,9,4,3,2,1,10565
231,26,Female,HR,Marketing Coordinator,Divorced,12,No,6,3,2,12,2,5947
232,52,Female,Marketing,Research Scientist,Single,14,No,9,2,3,4,3,2844
233,21,Female,HR,Marketing Coordinator,Divorced,23,Yes,1,3,3,12,1,8781
234,25,Female,Finance,Software Engineer,Married,1,No,0,2,3,7,3,6293
235,25,Female,IT,Financial Advisor,Single,24,No,11,1,4,2,4,11037
236,35,Female,HR,Manager,Single,27,No,12,2,4,7,2,11425
237,40,Male,R&D,Marketing Coordinator,Single,3,No,4,4,1,10,3,2795
238,20,Female,R&D,Data Analyst,Married,8,Yes,9,4,4,6,2,15862
239,47,Female,Finance,Sales Executive,Married,12,No,7,1,3,1,2,4281
240,35,Male,HR,Manager,Married,1,No,4,1,2,10,3,12167
241,22,Male,HR,Marketing Coordinator,Married,18,No,11,2,1,0,1,16976
242,47,Female,IT,Financial Advisor,Divorced,4,No,0,1,3,12,2,19510
243,20,Male,Sales,Marketing Coordinator,Divorced,26,Yes,12,2,2,14,1,6317
244,22,Male,R&D,Data Analyst,Married,21,Yes,11,2,4,9,3,18362
245,51,Male,Marketing,HR Specialist,Single,16,Yes,12,2,2,5,3,9049
246,28,Male,Finance,Research Scientist,Divorced,19,No,11,1,4,3,2,11030
247,54,Female,R&D,Research Scientist,Married,15,No,12,3,3,0,3,10088
248,54,Male,Sales,Manager,Single,17,No,0,2,2,2,1,15358
249,44,Male,R&D,Data Analyst,Divorced,15,No,9,3,1,12,3,15333
250,46,Male,IT,Marketing Coordinator,Divorced,14,No,1,4,3,13,4,18401
251,21,Female,HR,HR Specialist,Single,22,No,12,1,4,14,1,17679
252,35,Female,Marketing,HR Specialist,Divorced,2,No,14,1,1,14,2,18629
253,21,Male,Finance,Data Analyst,Married,5,No,13,3,1,7,4,6379
254,27,Male,IT,Marketing Coordinator,Married,19,No,8,3,4,11,2,9711
255,41,Male,IT,Manager,Divorced,11,No,1,1,2,8,4,2916
256,58,Female,Finance,Software Engineer,Married,2,No,7,4,3,13,4,10498
257,56,Female,Finance,Sales Executive,Single,14,No,13,1,3,11,1,8752
258,43,Female,Marketing,Software Engineer,Divorced,12,No,6,1,1,6,1,10883
259,58,Female,Finance,Marketing Coordinator,Single,28,No,1,3,4,3,4,18080
260,23,Male,R&D,Data Analyst,Single,10,No,12,4,4,1,2,4192
261,43,Female,Marketing,Research Scientist,Divorced,14,No,9,2,4,12,2,19620
262,45,Female,IT,Research Scientist,Married,12,No,4,1,2,12,2,10689
263,35,Female,Sales,Marketing Coordinator,Single,29,No,0,2,3,5,3,12594
264,43,Male,Finance,Data Analyst,Single,23,No,2,2,2,8,3,15499
265,42,Male,R&D,HR Specialist,Divorced,28,Yes,7,4,4,9,1,2575
266,26,Male,Marketing,Sales Executive,Single,5,No,14,3,2,2,3,15819
267,36,Female,Finance,Research Scientist,Single,6,No,9,4,4,7,4,10388
268,44,Male,Sales,Marketing Coordinator,Divorced,7,Yes,6,2,4,4,4,6541
269,45,Female,HR,Data Analyst,Married,29,No,0,4,2,8,3,16466
270,33,Female,HR,Software Engineer,Single,27,No,14,2,1,9,1,7319
271,53,Male,HR,Sales Executive,Married,26,Yes,6,2,2,5,2,19664
272,35,Female,IT,Software Engineer,Single,0,No,1,4,1,5,2,12760
273,50,Male,IT,Data Analyst,Single,16,Yes,1,4,4,12,3,18740
274,45,Female,Marketing,Software Engineer,Single,1,No,0,3,3,5,3,14106
275,40,Male,HR,Marketing Coordinator,Married,24,No,5,4,1,1,1,3371
276,49,Female,Marketing,Financial Advisor,Married,9,No,10,3,2,0,4,5430
277,30,Female,Finance,Data Analyst,Married,0,No,8,3,1,1,3,10716
278,20,Female,Sales,Financial Advisor,Single,4,No,7,1,2,11,2,17159
279,41,Female,HR,Marketing Coordinator,Single,28,No,13,2,3,4,3,8983
280,20,Female,Sales,Sales Executive,Single,8,No,4,3,3,4,3,18015
281,46,Female,IT,Sales Executive,Divorced,29,No,7,4,3,0,2,17709
282,43,Male,Sales,Data Analyst,Divorced,16,No,5,2,4,1,4,4506
283,51,Male,Finance,HR Specialist,Single,22,No,2,2,3,13,3,18417
284,55,Female,IT,Software Engineer,Married,19,No,7,2,3,13,1,13782
285,29,Female,Sales,Software Engineer,Married,3,No,2,3,3,10,1,11636
286,41,Female,Finance,Financial Advisor,Single,3,No,14,1,2,2,1,5953
287,48,Male,Marketing,Software Engineer,Married,11,Yes,9,3,4,10,3,16862
288,39,Male,IT,Research Scientist,Married,8,No,5,4,2,1,3,11362
289,59,Male,Marketing,Software Engineer,Single,4,No,2,3,2,5,4,18232
290,28,Male,R&D,Research Scientist,Single,18,No,13,2,1,13,3,14648
291,47,Male,Sales,Software Engineer,Married,9,No,5,2,1,4,4,4371
292,46,Male,Finance,Manager,Divorced,9,No,10,1,1,4,1,10737
293,56,Male,IT,Data Analyst,Single,4,Yes,13,1,1,13,2,4002
294,57,Male,IT,HR Specialist,Married,14,Yes,8,2,1,1,2,13577
295,56,Female,IT,Data Analyst,Divorced,14,Yes,5,3,2,12,3,16617
296,43,Female,R&D,Research Scientist,Single,26,No,8,1,3,6,3,8435
297,53,Male,R&D,Data Analyst,Single,21,Yes,14,2,1,12,2,5157
298,22,Male,R&D,Software Engineer,Single,6,No,5,1,3,14,4,9762
299,37,Female,IT,Financial Advisor,Divorced,2,No,14,2,1,5,2,11600
300,36,Female,HR,Manager,Single,21,No,10,4,3,10,1,3836
301,47,Female,HR,Financial Advisor,Single,20,No,0,4,1,11,2,4448
302,56,Female,Sales,Software Engineer,Married,15,No,9,2,2,11,2,2078
303,42,Male,HR,Financial Advisor,Single,11,Yes,7,4,2,10,4,16877
304,52,Female,HR,Financial Advisor,Divorced,7,No,11,3,4,2,1,12322
305,39,Female,Sales,Software Engineer,Married,5,No,3,2,1,4,1,3355
306,40,Female,Sales,Manager,Single,23,No,7,3,1,0,2,13380
307,59,Male,Finance,Research Scientist,Divorced,23,No,14,3,1,12,2,16805
308,51,Female,Finance,Software Engineer,Single,26,Yes,10,2,3,10,4,15871
309,50,Female,Sales,HR Specialist,Married,20,No,9,1,3,7,1,5173
310,56,Male,IT,Research Scientist,Single,7,No,11,4,2,11,3,13023
311,42,Male,R&D,Data Analyst,Divorced,12,No,6,2,4,14,4,12303
312,40,Female,HR,Marketing Coordinator,Divorced,5,No,12,2,4,10,1,12265
313,30,Female,R&D,Software Engineer,Divorced,18,Yes,14,1,2,0,1,10814
314,53,Male,R&D,Manager,Divorced,18,No,13,3,2,4,1,16738
315,23,Female,Marketing,HR Specialist,Single,17,Yes,13,1,1,4,4,2477
316,34,Male,Sales,Sales Executive,Divorced,21,No,5,3,1,6,4,2751
317,58,Male,R&D,Data Analyst,Divorced,29,No,9,3,3,5,4,11701
318,34,Female,IT,Data Analyst,Single,5,No,2,1,1,6,3,6373
319,55,Female,Finance,Software Engineer,Divorced,13,No,2,2,2,10,2,3178
320,23,Male,IT,Software Engineer,Married,0,No,12,3,4,14,2,9648
321,43,Female,IT,Sales Executive,Divorced,10,No,4,1,2,7,2,9524
322,35,Male,HR,Data Analyst,Married,20,Yes,10,2,2,8,4,10886
323,56,Male,IT,Financial Advisor,Married,17,No,5,2,1,14,1,15204
324,37,Female,HR,Software Engineer,Married,23,No,6,1,3,2,2,19813
325,20,Female,Finance,Manager,Single,3,Yes,4,1,1,1,2,17547
326,27,Male,Finance,HR Specialist,Married,11,No,10,3,2,4,3,12399
327,42,Female,Finance,Research Scientist,Divorced,12,Yes,6,3,3,2,2,12410
328,54,Female,Marketing,HR Specialist,Married,3,No,7,1,3,4,2,16115
329,20,Female,R&D,Research Scientist,Single,17,No,0,1,4,9,4,3020
330,32,Female,Finance,Financial Advisor,Divorced,26,Yes,8,2,2,3,3,13663
331,23,Female,Marketing,Sales Executive,Married,6,No,3,1,2,4,3,18314
332,54,Female,Finance,Manager,Married,20,No,7,2,1,14,2,13277
333,44,Male,IT,Manager,Divorced,21,No,3,1,3,7,3,5917
334,48,Male,Finance,Data Analyst,Divorced,21,No,4,3,4,12,4,10889
335,58,Male,Marketing,Software Engineer,Divorced,28,No,8,4,2,13,3,12255
336,20,Male,Marketing,HR Specialist,Married,29,No,0,1,2,11,3,6108
337,37,Female,Finance,HR Specialist,Married,2,No,5,4,1,13,4,8514
338,41,Female,Marketing,HR Specialist,Single,18,No,6,1,1,12,4,7631
339,21,Male,R&D,Sales Executive,Single,19,Yes,11,3,3,7,3,17800
340,45,Female,IT,Manager,Married,15,No,13,1,1,1,3,9608
341,28,Male,IT,Manager,Single,13,No,0,4,4,13,1,3424
342,51,Female,HR,Sales Executive,Divorced,6,Yes,10,1,4,3,1,4959
343,29,Female,IT,Marketing Coordinator,Single,26,No,4,2,2,1,3,6865
344,31,Female,Finance,Marketing Coordinator,Married,5,No,1,2,4,8,4,6616
345,47,Male,Sales,Manager,Divorced,14,No,1,2,3,12,1,5496
346,43,Female,HR,Software Engineer,Married,8,No,11,3,2,6,1,16022
347,38,Female,R&D,Financial Advisor,Married,27,Yes,2,1,4,10,1,14909
348,36,Male,Finance,Research Scientist,Single,23,No,4,3,1,1,2,10463
349,43,Male,Marketing,Financial Advisor,Single,21,No,1,2,2,10,4,10673
350,32,Male,Marketing,Software Engineer,Single,26,No,13,2,1,2,2,5768
351,32,Female,R&D,HR Specialist,Married,1,Yes,10,2,3,13,2,7247
352,28,Female,Finance,Data Analyst,Divorced,28,No,7,4,4,10,4,4033
353,33,Male,Marketing,HR Specialist,Married,10,Yes,0,3,4,4,3,19055
354,30,Male,Finance,Software Engineer,Married,21,No,2,3,1,9,4,13085
